timestamp,src_ip,dest_ip,port,protocol,packet_size,device_type,user_role,app,location
2024-10-09 06:38:33.703204,192.168.1.1,10.0.0.24,80,HTTP,2354,Laptop,Employee,Gaming,Berlin
2024-10-09 00:20:26.703204,192.168.1.1,10.0.0.147,22,SSH,1830,Laptop,Employee,Gaming,Berlin
2024-10-09 01:34:17.703204,192.168.1.1,10.0.0.183,21,FTP,6634,Laptop,Employee,Streaming,Berlin
2024-10-08 20:00:55.703204,192.168.1.1,10.0.0.230,80,HTTP,4215,Laptop,Employee,Streaming,Berlin
2024-10-09 00:31:37.703204,192.168.1.1,10.0.0.142,80,HTTP,2373,Laptop,Employee,Streaming,Berlin
2024-10-08 23:07:00.703204,192.168.1.1,10.0.0.22,80,HTTP,2027,Laptop,Employee,Gaming,Berlin
2024-10-08 22:26:13.703204,192.168.1.1,10.0.0.229,80,HTTP,1424,Laptop,Employee,Gaming,Berlin
2024-10-08 23:46:27.703204,192.168.1.1,10.0.0.162,443,OTHER,5377,Laptop,Employee,Streaming,Berlin
2024-10-08 21:40:10.703204,192.168.1.1,10.0.0.232,80,HTTP,3941,Laptop,Employee,Streaming,Berlin
2024-10-09 01:20:17.703204,192.168.1.1,10.0.0.168,21,FTP,6425,Laptop,Employee,Gaming,Berlin
2024-10-08 16:23:37.703204,192.168.1.1,10.0.0.238,80,HTTP,3265,Laptop,Employee,Streaming,Berlin
2024-10-09 04:48:05.703204,192.168.1.1,10.0.0.81,80,HTTP,5100,Laptop,Employee,Streaming,Berlin
2024-10-09 01:59:18.703204,192.168.1.1,10.0.0.67,80,HTTP,3478,Laptop,Employee,Streaming,Berlin
2024-10-09 00:19:43.703204,192.168.1.1,10.0.0.196,80,HTTP,4690,Laptop,Employee,Gaming,Berlin
2024-10-09 04:54:04.703204,192.168.1.1,10.0.0.144,80,HTTP,2688,Laptop,Employee,Streaming,Berlin
2024-10-09 08:02:49.703204,192.168.1.1,10.0.0.226,80,HTTP,1268,Laptop,Employee,Streaming,Berlin
2024-10-09 13:22:43.703204,192.168.1.1,10.0.0.251,80,HTTP,1557,Laptop,Employee,Streaming,Berlin
2024-10-08 21:58:48.703204,192.168.1.1,10.0.0.200,80,HTTP,4257,Laptop,Employee,Streaming,Berlin
2024-10-09 00:20:02.703204,192.168.1.1,10.0.0.190,80,HTTP,1974,Laptop,Employee,Gaming,Berlin
2024-10-09 01:11:38.703204,192.168.1.1,10.0.0.221,80,HTTP,3736,Laptop,Employee,Gaming,Berlin
2024-10-09 05:37:05.703204,192.168.1.1,10.0.0.65,80,HTTP,3638,Laptop,Employee,Gaming,Berlin
2024-10-09 05:40:35.703204,192.168.1.1,10.0.0.42,22,SSH,455,Laptop,Employee,Gaming,Berlin
2024-10-09 06:21:26.703204,192.168.1.1,10.0.0.32,22,SSH,1708,Laptop,Employee,Gaming,Berlin
2024-10-09 06:11:16.703204,192.168.1.1,10.0.0.183,80,HTTP,1693,Laptop,Employee,Gaming,Berlin
2024-10-08 21:06:59.703204,192.168.1.1,10.0.0.21,80,HTTP,2525,Laptop,Employee,Gaming,Berlin
2024-10-09 08:01:55.703204,192.168.1.1,10.0.0.148,53,OTHER,2312,Laptop,Employee,Streaming,Berlin
2024-10-09 02:06:09.703204,192.168.1.1,10.0.0.121,21,FTP,3068,Laptop,Employee,Gaming,Berlin
2024-10-08 21:57:51.703204,192.168.1.1,10.0.0.17,21,FTP,3011,Laptop,Employee,Gaming,Berlin
2024-10-09 00:05:39.703204,192.168.1.1,10.0.0.161,21,FTP,6060,Laptop,Employee,Streaming,Berlin
2024-10-09 07:56:13.703204,192.168.1.1,10.0.0.91,80,HTTP,5031,Laptop,Employee,Gaming,Berlin
